"playerID","age","gender","education","nativeEnglish","poemNr","condition","choice","correctness","certainty"
7,25,1,"Philosophy",0,11,"Like","Right",1,1
7,25,1,"Philosophy",0,12,"Machine","Left",1,1
7,25,1,"Philosophy",0,12,"Like","Right",1,1
7,25,1,"Philosophy",0,13,"Machine","Right",1,6
7,25,1,"Philosophy",0,13,"Like","Left",1,6
7,25,1,"Philosophy",0,14,"Machine","Right",1,10
7,25,1,"Philosophy",0,14,"Like","Left",1,10
7,25,1,"Philosophy",0,15,"Machine","Left",1,4
7,25,1,"Philosophy",0,15,"Like","Right",1,4
7,25,1,"Philosophy",0,16,"Machine","Right",1,10
7,25,1,"Philosophy",0,16,"Like","Left",1,10
7,25,1,"Philosophy",0,17,"Machine","Left",1,9
7,25,1,"Philosophy",0,17,"Like","Right",1,9
7,25,1,"Philosophy",0,18,"Machine","Right",1,5
7,25,1,"Philosophy",0,18,"Like","Left",1,5
7,25,1,"Philosophy",0,19,"Machine","Left",1,9
7,25,1,"Philosophy",0,19,"Like","Right",1,9
7,25,1,"Philosophy",0,20,"Machine","Left",0,4
7,25,1,"Philosophy",0,20,"Like","Right",0,4
8,26,0,"Cognitive Science",0,1,"Machine","Left",1,4
8,26,0,"Cognitive Science",0,1,"Like","Left",1,4
8,26,0,"Cognitive Science",0,2,"Machine","Left",1,2
8,26,0,"Cognitive Science",0,2,"Like","Right",1,2
8,26,0,"Cognitive Science",0,3,"Machine","Right",1,7
8,26,0,"Cognitive Science",0,3,"Like","Left",1,7
8,26,0,"Cognitive Science",0,4,"Machine","Right",1,10
8,26,0,"Cognitive Science",0,4,"Like","Left",1,10
8,26,0,"Cognitive Science",0,5,"Machine","Left",0,2
8,26,0,"Cognitive Science",0,5,"Like","Right",0,2
8,26,0,"Cognitive Science",0,6,"Machine","Right",0,1
8,26,0,"Cognitive Science",0,6,"Like","Right",0,1
8,26,0,"Cognitive Science",0,7,"Machine","Right",1,3
8,26,0,"Cognitive Science",0,7,"Like","Left",1,3
8,26,0,"Cognitive Science",0,8,"Machine","Left",1,7
8,26,0,"Cognitive Science",0,8,"Like","Right",1,7
8,26,0,"Cognitive Science",0,9,"Machine","Left",1,7
8,26,0,"Cognitive Science",0,9,"Like","Right",1,7
8,26,0,"Cognitive Science",0,10,"Machine","Right",1,3
8,26,0,"Cognitive Science",0,10,"Like","Left",1,3
8,26,0,"Cognitive Science",0,11,"Machine","Left",1,1
8,26,0,"Cognitive Science",0,11,"Like","Right",1,1
8,26,0,"Cognitive Science",0,12,"Machine","Left",1,1
8,26,0,"Cognitive Science",0,12,"Like","Right",1,1
8,26,0,"Cognitive Science",0,13,"Machine","Right",1,6
8,26,0,"Cognitive Science",0,13,"Like","Left",1,6
8,26,0,"Cognitive Science",0,14,"Machine","Right",1,10
8,26,0,"Cognitive Science",0,14,"Like","Left",1,10
8,26,0,"Cognitive Science",0,15,"Machine","Left",1,4
8,26,0,"Cognitive Science",0,15,"Like","Right",1,4
8,26,0,"Cognitive Science",0,16,"Machine","Right",1,10
8,26,0,"Cognitive Science",0,16,"Like","Left",1,10
8,26,0,"Cognitive Science",0,17,"Machine","Left",1,9
8,26,0,"Cognitive Science",0,17,"Like","Right",1,9
8,26,0,"Cognitive Science",0,18,"Machine","Right",1,5
8,26,0,"Cognitive Science",0,18,"Like","Left",1,5
8,26,0,"Cognitive Science",0,19,"Machine","Left",1,9
8,26,0,"Cognitive Science",0,19,"Like","Right",1,9
8,26,0,"Cognitive Science",0,20,"Machine","Left",0,4
8,26,0,"Cognitive Science",0,20,"Like","Right",0,4
